team_id,team_abbr,league,division
110,BAL,AL,East
111,BOS,AL,East
147,NYY,AL,East
139,TB,AL,East
141,TOR,AL,East
145,CWS,AL,Central
114,CLE,AL,Central
116,DET,AL,Central
118,KC,AL,Central
142,MIN,AL,Central
117,HOU,AL,West
108,LAA,AL,West
133,ATH,AL,West
136,SEA,AL,West
140,TEX,AL,West
144,ATL,NL,East
146,MIA,NL,East
121,NYM,NL,East
143,PHI,NL,East
120,WSH,NL,East
112,CHC,NL,Central
113,CIN,NL,Central
158,MIL,NL,Central
134,PIT,NL,Central
138,STL,NL,Central
109,ARI,NL,West
115,COL,NL,West
119,LAD,NL,West
135,SD,NL,West
137,SF,NL,West
